Time, Stove, Ready, Assistant, Remarks
1 ,Empty,none, a(prep=10),a arrives|
2 ,Empty,none, a(prep=9),none
3 ,Empty,none, a(prep=8),none
4 ,Empty,none, a(prep=7),none
5 ,Empty,none, a(prep=6),none
6 ,Empty,none, a(prep=5) b(prep=1),b arrives|
7 ,b(cook=20),none, a(prep=4) c(prep=20),b is prepared|c arrives|
8 ,b(cook=19),none, a(prep=3) c(prep=19),none
9 ,b(cook=18),none, a(prep=2) c(prep=18),none
10 ,b(cook=17),none, a(prep=1) c(prep=17),none
11 ,b(cook=16), a(cook=20), c(prep=17) d(prep=1),a is prepared|d arrives|
12 ,b(cook=15), d(cook=1) a(cook=20), c(prep=16),d is prepared|
13 ,b(cook=14), d(cook=1) a(cook=20), c(prep=15),none
14 ,b(cook=13), d(cook=1) a(cook=20), c(prep=14),none
15 ,b(cook=12), d(cook=1) a(cook=20), c(prep=13),none
16 ,b(cook=11), d(cook=1) a(cook=20), c(prep=12),none
17 ,b(cook=10), d(cook=1) a(cook=20), c(prep=11),none
18 ,b(cook=9), d(cook=1) a(cook=20), c(prep=10),none
19 ,b(cook=8), d(cook=1) a(cook=20), c(prep=9),none
20 ,b(cook=7), d(cook=1) a(cook=20), c(prep=8) e(prep=2),e arrives|
21 ,b(cook=6), d(cook=1) a(cook=20), c(prep=7) e(prep=1) f(prep=9),f arrives|
22 ,b(cook=5), d(cook=1) e(cook=2) a(cook=20), c(prep=6) f(prep=9) g(prep=2),e is prepared|g arrives|
23 ,b(cook=4), d(cook=1) e(cook=2) a(cook=20), c(prep=5) f(prep=8) g(prep=1),none
24 ,b(cook=3), g(cook=1) d(cook=1) e(cook=2) a(cook=20), c(prep=4) f(prep=7) h(prep=1),g is prepared|h arrives|
25 ,b(cook=2), g(cook=1) h(cook=1) d(cook=1) e(cook=2) a(cook=20), c(prep=3) f(prep=6) i(prep=10),h is prepared|i arrives|
26 ,b(cook=1), g(cook=1) h(cook=1) d(cook=1) e(cook=2) a(cook=20), c(prep=2) f(prep=5) i(prep=9),none
27 ,Cleaning, g(cook=1) h(cook=1) d(cook=1) e(cook=2) a(cook=20), c(prep=1) f(prep=4) i(prep=8) b(prep=1),b is done cooking|stove is cleaning|
