Generation 0 average fitness: 41.58701878059255
Generation 1 average fitness: 43.06256095814928
Warning: generation 2 has lower average fitness
Generation 2 average fitness: 42.952513760580835
Generation 3 average fitness: 43.09923365675893
Generation 4 average fitness: 43.547579588956
Generation 5 average fitness: 44.03943627412925
Warning: generation 6 has lower average fitness
Generation 6 average fitness: 43.91949945963551
Generation 7 average fitness: 44.379390764932516
Warning: generation 8 has lower average fitness
Generation 8 average fitness: 43.69155292192234
Generation 9 average fitness: 43.83677900233817
Generation 10 average fitness: 43.914743087093655
Generation 11 average fitness: 44.86078395575945
Warning: generation 12 has lower average fitness
Generation 12 average fitness: 43.18424162517948
Generation 13 average fitness: 45.34969278143724
Generation 14 average fitness: 45.40958279937785
Generation 15 average fitness: 46.311497599290504
Warning: generation 16 has lower average fitness
Generation 16 average fitness: 44.27670892408859
Generation 17 average fitness: 45.19989967260312
Warning: generation 18 has lower average fitness
Generation 18 average fitness: 44.73757260902792
Warning: generation 19 has lower average fitness
Generation 19 average fitness: 44.27059120604778
Warning: generation 20 has lower average fitness
Generation 20 average fitness: 44.24175609556526
Generation 21 average fitness: 45.943272680452544
Warning: generation 22 has lower average fitness
Generation 22 average fitness: 45.24816232926096
Generation 23 average fitness: 45.24899139685275
Generation 24 average fitness: 46.647159156973046
Time, Stove, Ready, Assistant, Remarks
197 ,i(cook=10),none, e(prep=8),none
198 ,i(cook=9),none, e(prep=7),none
199 ,i(cook=8),none, e(prep=6),none
200 ,i(cook=7),none, e(prep=5),none
201 ,i(cook=6),none, e(prep=4),none
202 ,i(cook=5),none, e(prep=3),none
203 ,i(cook=4),none, e(prep=2),none
204 ,i(cook=3),none, e(prep=1),none
205 ,i(cook=2), e(cook=1),none,e is prepared|
206 ,i(cook=1), e(cook=1),none,none
207 ,Cleaning, e(cook=1), i(prep=3),i is done cooking|stove is cleaning|
208 ,e(cook=1),none, i(prep=2),none
209 ,Cleaning,none, i(prep=1),e is done|stove is cleaning|
210 ,i(cook=2),none,none,i is prepared|
211 ,i(cook=1),none,none,none
212 ,Cleaning,none, i(prep=3),i is done cooking|stove is cleaning|
213 ,Empty,none, i(prep=2),none
214 ,Empty,none, i(prep=1),none
215 ,i(cook=2),none,none,i is prepared|
216 ,i(cook=1),none,none,none
217 ,Cleaning,none, i(prep=2),i is done cooking|stove is cleaning|
218 ,Empty,none, i(prep=1),none


,,Time Completed, 219
,,Stove Utilization, 182/219 = 83.11%
,,Job, Waiting time, Priority
,,[b], 6, 2
,,[a], 5, 4
,,[j], 11, 4
,,[c], 31, 8
,,[g], 18, 7
,,[h], 48, 3
,,[f], 73, 2
,,[d], 102, 7
,,[e], 127, 1
,,[i], 156, 4
,,Total:, 577,Avg. Waiting Time 57.70, Weighted average wait time, 5.25
,,Weighted average priority difference, 0.22
-2.9325555191812134,0.08754689804802673,0.13838515777638705,-4.8952142543009725,2.62339214793172,56.859462201927954
0.2307379703841086,0.2002938760084234,0.766564895992742,-4.670987009296108,-3.9715358757532346,56.815156169994886
-4.436275185221236,-0.3831961805750197,-0.13196388396687908,-4.542497397318939,-2.3293853694298106,56.254399195575665
1.4201694533907627,-0.3831961805750197,0.13838515777638705,-4.896561608635707,4.750945286878478,56.21004566210045
-1.8773596829942574,-0.3831961805750197,-0.13196388396687908,-4.670987009296108,-2.3293853694298106,56.15384615384615
-2.9325555191812134,1.4093151618725148,0.13838515777638705,-3.197900718080314,-1.0471518993941853,55.79154375614552
1.023491755424124,0.08754689804802673,-1.3100139241962938,-4.896561608635707,2.62339214793172,55.79621095750128
-2.91199640455168,1.9580077138242435,0.9213199147864595,-4.542497397318939,-2.136496656146347,55.76036866359447
-0.7446739920799894,2.486794430393891,-0.034790966232513654,-4.670987009296108,-3.2404555567918036,55.52083333333334
-2.9325555191812134,1.1690733082024032,0.13838515777638705,-4.7815226458215845,1.6945734253457498,55.5260570304818
-4.784244299197127,1.9580077138242435,-0.49576598868203625,-4.896561608635707,-4.031926425012928,55.30481809242871
-4.784244299197127,1.9580077138242435,-0.49576598868203625,-4.896561608635707,-4.031926425012928,55.30481809242871
-4.784244299197127,1.9580077138242435,-0.49576598868203625,-4.896561608635707,0.40395264361976757,55.30481809242871
-4.784244299197127,1.9580077138242435,-0.49576598868203625,-4.896561608635707,0.40395264361976757,55.30481809242871
-4.839637617238374,1.1690733082024032,-0.48876427279423496,-2.1954352413280698,3.005015977687794,55.25114155251142
-4.912347984009671,1.1690733082024032,-0.48876427279423496,-2.1954352413280698,-1.886090283394859,55.25114155251142
4.455435238558506,3.943942006062663,-0.48876427279423496,-2.5259614343072876,-1.1809115283872251,55.24031007751938
3.695015280113868,1.4654048695192756,0.13838515777638705,-4.7815226458215845,4.750945286878478,55.24099441907661
-2.087683173975906,-2.472863092020595,0.6115396815496323,-4.8952142543009725,-2.716226156426477,55.22875816993464
-2.087683173975906,-2.472863092020595,0.6115396815496323,-4.8952142543009725,0.402939078365244,55.22875816993464
-2.087683173975906,-2.472863092020595,0.6115396815496323,-4.8952142543009725,0.402939078365244,55.22875816993464
-2.087683173975906,-2.472863092020595,0.6115396815496323,-4.8952142543009725,0.402939078365244,55.22875816993464
-1.6481797150795598,1.1690733082024032,0.13838515777638705,-2.6545156989049437,-0.2182414459957407,55.127826941986235
-2.91199640455168,1.4654048695192756,-0.034790966232513654,-4.670987009296108,3.259261310360687,55.127826941986235
-2.3602097628148933,4.462870461773742,1.4459608323517337,-4.7815226458215845,-2.447053077514391,55.10077519379845
